delude, antique, Pergamon, directory, integrate, pectoral, wiener, inconstant, quack, slob, elliptic, architect, trainmen, Richardson, Johnsen, pot, brethren, slick, Kankakee, pairwise, Bruckner, accrual, Scotland, sewerage, dermatology, obsessive, Columbia, eschew, carport, preparation, Seneca, ropy, Roseland, frog, playa, handicraftsman, linoleic, scorpion, trill, migrate
89 : 71 | 63 | 19 | 43 | debauch | stablemen | solo | actinic | gregarious | immigrant | monologue | 84 | 24 | abandon | 11 | easy | 72 | transgressor | escritoire | mortgage | 13 | 5 | 15 | 37 | FBI | depend | 80 | Healey | 82 | 60 | conifer | 35 | 65 | 70 | halide | dump | pup | 67 | 7
51 : 35 | apricot | 28 | 43 | 96 | MacMahon | hairspring | 66 | Alcott | 46 | 11 | sucrose | 87 | europium | 22 | 99 | some | 89 | 38 | releasable | convoy | elder | glutton | 21 | 39 | 40 | 95 | 50 | 33 | Aviv | 62 | 33 | 70 | 42 | turnery | Monrovia | crosslink | Freud | 84
cationic : 80 | 33 | 87 | 43 | 16 | artificial | 44 | formal | 70 | 23 | contralateral | 27 | octane | 50 | deuce | tripe | inappropriate | hallucinate | 49 | 73 | suppressor | 27 | nectarine | baobab | 92 | 20 | six | 80 | 87 | Carmichael | psyllium | 64 | j | 64 | trance | 54 | littermate | 78 | 13
53 : infarct | broth | Czechoslovakia | 97 | 58 | Albuquerque | 87 | Tyrannosaurus | 30 | 91 | 14 | 46 | 94 | 90 | lapelled | 47 | 29 | 10 | 72 | 41 | 69 | hoop | 68 | 57 | salvation | 80 | sorrow | 4 | 35 | clipboard | junky | 12 | 99 | Cassandra | 1 | 50 | 91 | 76 | justice
Saul : 95 | estate | 23 | 92 | 66 | 60 | agronomy | 31 | 40 | 81 | 45 | chattel | octahedral | 65 | despoil | pate | 6 | 98 | 89 | Triceratops | comrade | policy | 84 | 65 | apex | 60 | demitting | 54 | Lockwood | odyssey | 22 | anecdote | toothache | typewritten | 30 | 89 | 55 | Lindsey | 90
24 : kava | 35 | clarify | suitor | slumber | 2 | 35 | 37 | 86 | submit | beplaster | 89 | 20 | 29 | 41 | nucleus | crayon | irreclaimable | strategic | sleigh | 85 | 98 | lesion | 86 | lend | Friedman | parish | 82 | panel | 66 | 65 | cilia | arousal | provocation | 1 | 31 | 85 | inboard | Missy
13 : Wayne | Synge | 58 | 77 | scale | 74 | 64 | Avogadro | 63 | McKinley | 51 | 4 | veil | fireboat | 53 | 93 | 75 | 66 | 85 | 96 | standpoint | 22 | 20 | 21 | 68 | 77 | 63 | erosible | 39 | decor | 11 | 86 | sawtimber | 13 | 19 | 89 | 99 | 14 | 34
41 : populist | 67 | 81 | 11 | 62 | 90 | terrier | immoderate | 96 | Lauderdale | serve | elegy | frazzle | 10 | 47 | 79 | 83 | 86 | 32 | 27 | 65 | modicum | 99 | opiate | 63 | 44 | Bosporus | attenuate | 1 | 78 | 92 | 4 | 52 | 87 | chin | alveolar | 89 | 98 | sod
53 : 59 | 89 | 80 | 55 | coulomb | 54 | chantey | 59 | 92 | 45 | 35 | 89 | 97 | 89 | 39 | 22 | phenyl | 73 | 58 | hippodrome | 72 | 41 | 1 | inexplainable | 51 | Seymour | limbo | 18 | ileum | 96 | solenoid | 66 | 36 | 16 | 63 | tangent | 91 | multiplexor | accountant
20 : silicone | 32 | 76 | 78 | 95 | 3 | insist | Lao | 43 | deter | 33 | 59 | 65 | 84 | 2 | 82 | 60 | 92 | 50 | heel | Constantinople | 47 | 2 | inclusive | 54 | 13 | 31 | 81 | lasso | omnibus | 21 | 45 | 57 | 6 | impelled | abut | 13 | 45 | 88
41 : 30 | 44 | Arizona | 89 | heroes | 67 | simulcast | 45 | chortle | ten | 2 | sinus | 91 | 49 | 13 | 67 | 64 | tercel | 0 | 98 | 44 | 6 | 71 | 18 | 63 | 26 | etch | 56 | ingrown | chert | 51 | plowshare | gangling | parrot | 74 | bailiff | 25 | 76 | Petersen
27 : 86 | many | 45 | 3 | 84 | 19 | 0 | 34 | 15 | don't | 47 | 60 | talus | 44 | porch | flashback | Ising | 8 | 48 | 57 | 20 | 51 | Anselmo | extirpate | noontime | workday | 93 | 45 | 23 | bighorn | 72 | 8 | 18 | 67 | 26 | 20 | 47 | 81 | obsequy
68 : succession | fibrous | 70 | Wendell | 2 | 69 | campion | sough | 50 | 29 | 38 | 27 | 71 | 94 | 0 | 2 | 77 | 41 | pontificate | through | 6 | 99 | impious | Dinah | brothel | Karamazov | 31 | 79 | 58 | 79 | 33 | 11 | homage | 43 | groan | 54 | 86 | 46 | 83
64 : Lissajous | 94 | 9 | 63 | Chad | 61 | egress | poignant | 32 | various | 69 | Middlesex | 26 | 56 | 74 | Accra | Valery | 37 | author | minuteman | 42 | 16 | dystrophy | 96 | 3 | siliceous | haploid | 75 | 83 | programmatic | 46 | coprinus | 81 | 30 | prowl | Keith | stab | afire | 2
Jesus : 41 | Elliott | dialectic | avalanche | Spector | publication | 18 | demurring | frightful | prologue | 46 | autocracy | 63 | 64 | Wilshire | imprecise | 58 | redound | 90 | 95 | Rebecca | Armenia | rife | 9 | 9 | patriarch | 91 | coquette | preclude | 28 | surprise | 70 | 25 | 74 | 5 | 70 | 65 | 97 | smash
86 : 25 | 52 | minutiae | sculpture | 73 | 43 | 5 | 93 | contribute | chocolate | 3 | hoi | 47 | rockaway | 51 | 28 | 73 | 79 | market | 3 | Fairport | 2 | 97 | bitumen | 7 | 88 | 74 | fillet | coast | 64 | 88 | sora | Etruscan | 96 | cavemen | Stegosaurus | 65 | 47 | anarch
52 : vanquish | 76 | alternate | 30 | 99 | area | 38 | 11 | 7 | mastery | gauzy | contradistinct | 95 | 43 | 86 | apricot | buttermilk | 22 | rigorous | retiree | 97 | 78 | dubious | abstain | 93 | Copeland | 54 | 65 | tetrahedral | racial | 86 | perfidy | 20 | 17 | 76 | recessive | Gothic | 42 | 8
42 : 71 | 51 | amble | foreign | 15 | extramarital | 86 | 3 | 73 | 85 | 61 | 87 | 52 | arteriosclerosis | 90 | substantiate | 91 | micro | 28 | catalogue | Argentinian | 15 | 50 | Euripides | 96 | petrology | anomie | buss | debarring | 15 | 14 | 32 | 26 | provident | 80 | tycoon | deuce | 17 | 17
39 : 66 | 68 | margin | 4 | 42 | redolent | 59 | 32 | IT&T | marine | 61 | Trastevere | 61 | arsenal | spine | workshop | 21 | cabal | crossover | Avery | 36 | sulfonamide | 60 | elastic | 93 | devotee | 50 | 49 | 44 | avowal | 60 | inimical | 47 | extensive | 52 | tommy | 99 | 60 | 41
Watkins : hamper | 46 | slugging | 54 | 35 | 30 | adventitious | 25 | fluoridate | 2 | 28 | 91 | 24 | 57 | 26 | bark | 84 | 78 | 35 | 99 | 91 | 11 | 26 | 83 | 12 | sputnik | debenture | Geiger | hub | 7 | symbiosis | 64 | 99 | 17 | 84 | apologia | 15 | malt | sundry
52 : Squibb | hem | 71 | 1 | definition | 96 | 54 | exploration | 38 | 40 | 92 | 9 | baseplate | 74 | 97 | 56 | paraffin | 63 | 97 | 36 | 53 | 17 | Gurkha | 27 | 34 | 37 | ticklish | cleft | bask | Shattuck | 84 | 74 | 37 | 87 | 9 | 34 | 44 | 71 | 11
challenge : 21 | 3 | 66 | 17 | 65 | bumptious | 45 | 38 | 65 | steprelation | 3 | 48 | 57 | moneywort | 65 | serviceable | 41 | stopcock | barley | corruption | 92 | 95 | 35 | 34 | scandalous | 98 | 35 | 98 | 6 | ouvre | example | daemon | macroscopic | 79 | pudding | runny | Wilhelmina | 43 | coalition
89 : 99 | 67 | cryptographer | declination | Peale | 98 | 83 | 23 | electric | peppery | 76 | 3 | 13 | 41 | bituminous | 73 | gelatin | chondrite | 98 | derision | 5 | ravine | gateway | 58 | inalienable | tumble | 39 | 67 | 71 | rotten | 73 | oftentimes | 43 | 45 | 66 | tabular | 90 | 55 | NASA
42 : Budapest | 15 | 38 | 97 | 32 | 0 | 78 | 62 | 64 | bijective | 77 | 19 | 81 | 56 | drafty | 82 | raspberry | Margaret | Wahl | 4 | 22 | 79 | colonel | 99 | 19 | Jutland | gild | 16 | 76 | 89 | 73 | 82 | 36 | 99 | 98 | 24 | pineapple | 36 | 44
offertory : 2 | 52 | cometary | 29 | 9 | rainfall | 45 | 44 | 58 | 40 | xerox | Mathews | 90 | Hoffman | 53 | resorcinol | 60 | 80 | ham | GA | 83 | taro | Conley | 81 | downside | 33 | 72 | 34 | 4 | 78 | 68 | modulate | 25 | Everglade | oilseed | hallucinatory | 24 | axiology | 17
36 : Peking | purl | 68 | 82 | sow | unidirectional | 34 | 89 | 79 | 1 | leaden | coney | 58 | 0 | toss | 93 | 13 | 57 | 39 | Suez | 30 | 84 | 75 | peasant | 63 | 92 | 30 | 88 | 23 | 23 | cabinetry | 41 | 54 | appeasable | 79 | 35 | sicklewort | Ohio | 47
businessman : 91 | hasp | general | 62 | midsection | 62 | 33 | irreversible | 39 | manumit | 20 | mural | complicate | 61 | 83 | waxy | 17 | shun | curium | 65 | cistern | gale | snapdragon | 93 | 78 | 43 | Rhea | Asia | Spiegel | linger | rotor | 5 | tropospheric | 31 | 55 | 70 | loose | 85 | 34
catastrophe : 6 | 3 | 80 | 16 | 8 | 94 | 9 | 87 | amniocentesis | 76 | 14 | Churchillian | 98 | neuroses | 66 | 91 | 51 | 36 | Priscilla | 44 | 92 | 92 | 78 | 14 | 99 | 98 | stroll | 19 | 30 | moneymake | 39 | 85 | tallow | 36 | 74 | Bootes | Whitehorse | detail | holocaust
zesty : 1 | 14 | 52 | 66 | 79 | 62 | fling | epicyclic | NRC | Emilio | sweep | 18 | Tiffany | harp | frostbitten | 40 | 24 | 36 | lemonade | 80 | 28 | carrageen | diction | 50 | Eleazar | delegate | turf | jubilant | conflict | Plutarch | 21 | 11 | 88 | 16 | satiric | 61 | 42 | 7 | 85
fragmentation : 55 | 34 | interpolate | 98 | satin | Templeton | 3 | 90 | liquefaction | 5 | 2 | shortcut | 13 | 39 | 16 | 16 | lawgiving | Lausanne | 50 | domestic | 86 | Pliocene | perpendicular | pinhead | 98 | supranational | Karol | tonk | geodesic | 36 | 23 | male | bugaboo | 8 | Buena | 29 | setback | 19 | immense
48 : 76 | Inman | maudlin | excelling | ocarina | 48 | highlight | 92 | 51 | plentiful | latitudinal | 15 | benthic | disdain | 86 | 20 | Thai | 7 | 85 | 3 | Eskimo | 30 | 41 | scramble | 86 | 70 | 54 | 95 | kerchief | Pentecost | 76 | Boston | 44 | Squibb | capital | 21 | breakneck | Dyke | 77
25 : Tudor | ingestible | 74 | relaxation | 36 | 87 | 16 | 4 | 40 | SE | 75 | screechy | 70 | 59 | Anselm | cram | culprit | 68 | 72 | 76 | farm | 68 | 68 | leitmotiv | 6 | Dr | 53 | forsook | salacious | 32 | 90 | 3 | 41 | Nebraska | incurring | jag | 22 | 42 | Ritz
absinthe : 31 | 56 | Felicia | notocord | 62 | 21 | shag | 53 | 2 | 39 | necropsy | 6 | 35 | sign | 11 | sexy | 28 | 63 | 78 | 19 | lift | 35 | 39 | rot | 41 | proofread | roast | 41 | 8 | 20 | 12 | Richter | 1 | 61 | alewife | 10 | 3 | amalgam | chamomile
95 : 29 | metropolis | 29 | marrow | collectible | certainty | 77 | 4 | 6 | 22 | 60 | 93 | cardiac | 9 | 36 | 50 | everyman | raffish | 31 | java | embraceable | Christensen | 38 | 35 | 35 | 29 | oncology | 7 | 84 | 66 | lob | midweek | cowhide | 17 | 36 | 65 | Denton | pimp | 8
61 : 45 | ghastly | 12 | 32 | 75 | 54 | 88 | filthy | 59 | TNT | 55 | 28 | 24 | 65 | autonomous | desire | 51 | 8 | yawn | 85 | Rockefeller | psyche | 20 | societal | myeloid | 22 | 86 | 38 | 44 | 52 | 11 | 20 | indisputable | 30 | sanctuary | principle | opalescent | Adlerian | 57
87 : unary | 44 | 73 | 37 | 38 | Pleistocene | 3 | Avogadro | 76 | 76 | shipshape | hatred | 98 | 18 | exuberant | 13 | academician | 61 | 46 | 68 | 90 | 71 | 46 | 33 | 75 | Belshazzar | Avignon | 81 | 14 | grotesque | descent | 46 | 81 | 48 | meteoritic | floruit | gestural | 19 | pervasion
62 : 20 | 41 | Conrail | nitrous | 61 | 68 | 37 | 46 | 22 | 96 | 90 | 26 | 19 | 81 | 82 | bespoke | 95 | geminate | 83 | 4 | tub | 93 | Oberlin | 35 | 39 | dwell | 70 | 49 | 22 | pomposity | 62 | Asher | 39 | 69 | Grover | 47 | perspicuous | 70 | splintery
76 : abuse | trilobite | 26 | 78 | 49 | bleed | 96 | antigorite | cuff | secretive | decor | 8 | 30 | 60 | 3 | strongroom | myeloid | 1 | patient | 60 | c | 16 | ministry | 38 | congruent | 52 | orthonormal | addressee | 28 | penitent | 42 | dimorphic | quagmire | mist | 73 | juggle | 42 | 67 | hinterland
38 : 47 | monk | 72 | wretch | analytic | birthright | 51 | naiad | zebra | 68 | 99 | 33 | Veneto | 44 | 24 | 36 | 26 | 29 | loquat | 80 | 52 | 59 | concentric | artistry | 22 | 13 | 89 | 71 | quint | 23 | radiate | 82 | 87 | electroencephalography | yet | 77 | 11 | flexure | 8
37 : 96 | Doneck | 39 | 28 | 36 | 77 | 41 | 62 | psychoacoustic | 9 | 61 | 30 | psychotherapist | limerick | interpolate | 26 | 67 | suicide | 28 | 31 | 63 | Ralston | cornmeal | 34 | 67 | 55 | voltmeter | 54 | Jewell | 0 | 95 | 46 | 19 | zigzag | Logan | solute | 71 | Geminid | 5
34 : tam | 51 | ninety | lay | sulk | martensite | 4 | infuriate | 69 | 9 | 23 | 26 | mattress | flunky | 75 | deception | assignee | 89 | 70 | 72 | Sanskrit | 15 | expatiate | 71 | slam | 72 | Sinbad | Kodachrome | cameraman | 34 | insolvable | 93 | earshot | 82 | 93 | hock | tilt | 90 | rupture
Pradesh : 97 | procession | stern | 0 | gluten | Compagnie | 24 | 31 | 90 | mosquitoes | 13 | 12 | commerce | 18 | 60 | crank | 45 | 16 | 2 | 32 | 38 | 66 | 41 | rubidium | 95 | 26 | 77 | 78 | 18 | bindle | 34 | inquisitive | zinc | springboard | 1 | 8 | scarface | 80 | notch
23 : 72 | 39 | axis | 72 | 52 | 89 | carpet | blowup | 24 | 58 | Pinsky | wale | 35 | 80 | Aaron | deprave | 45 | husky | harmony | somehow | 21 | 57 | 91 | 74 | 56 | 90 | Pusey | 85 | 31 | loyal | 15 | instable | 67 | 12 | Naples | 66 | seamen | 96 | 39
82 : 81 | 27 | 56 | 60 | 38 | Slovakia | 48 | 39 | 67 | 53 | 26 | cornflower | 58 | 71 | 68 | 85 | 84 | sarcastic | alleviate | Armonk | conferring | 7 | Hadley | 56 | 75 | 89 | 24 | 22 | 39 | 42 | resume | 13 | blot | 63 | 84 | 44 | 57 | 13 | 67
24 : 76 | rondo | Benelux | 33 | tombstone | 66 | 71 | directory | autotransformer | doff | polio | deerskin | 90 | smallish | 84 | 89 | 59 | 6 | climatic | 21 | faculty | 73 | cock | Friedman | battleground | Schnabel | sonnet | 67 | 85 | bastion | 66 | batt | gyrfalcon | 19 | 28 | feverish | 54 | 8 | 68
1 : endgame | 13 | 26 | 22 | seaport | 41 | lamentation | 23 | Shipley | 47 | 67 | hypocritic | 43 | 50 | 7 | aspirant | 66 | maritime | dub | 2 | jazzy | 75 | ambivalent | 45 | crumple | 6 | acclamation | 0 | 11 | 64 | deplore | 90 | 1 | 11 | rotary | 26 | 99 | distributive | 93
proficient : 67 | beyond | 92 | 48 | 51 | 11 | 84 | 93 | 11 | kaolin | gunplay | baritone | 70 | 50 | 49 | punctuate | Finley | wapato | narcissist | 68 | ventricle | 52 | 47 | 73 | Dusenbury | smelly | 42 | torrent | 16 | 89 | 59 | 4 | 32 | 7 | 0 | 73 | longish | handicap | 27
successor : 29 | mandarin | Bonn | 17 | 69 | 58 | 94 | Holloway | dewar | 91 | verbatim | enthusiast | 32 | 24 | 69 | 24 | 55 | bullfrog | 72 | 57 | 99 | Frey | sepulchral | vagary | 80 | 93 | 50 | chef | 41 | 96 | 0 | masonry | catbird | 50 | bass | 16 | 65 | grouch | chaparral
85 : 19 | 92 | 97 | 4 | 60 | Yuki | 93 | 2 | gleeful | 12 | agile | 93 | 37 | 40 | 84 | elaborate | pemmican | siren | 22 | 12 | toothpick | stupa | 65 | extramural | 45 | dry | 34 | pilgrim | wherein | 81 | Eduardo | range | ribald | electroencephalograph | 96 | 66 | 40 | 3 | realty
brinkmanship : 46 | 85 | 62 | Laue | 27 | 46 | vessel | 99 | 82 | Bangui | spinnaker | 91 | counterproposal | 8 | 15 | tribulate | era | 97 | 62 | 89 | 96 | 57 | needn't | 27 | 6 | apotheosis | 58 | 57 | 77 | 90 | 89 | illegitimacy | 26 | 20 | Sonora | lobo | 34 | 0 | 98
egotist : husbandman | actuarial | 78 | 4 | Chadwick | 17 | 69 | 62 | knob | 0 | sketchpad | 11 | 68 | 18 | 15 | 37 | 0 | 28 | 42 | Bialystok | platform | 56 | detention | 45 | 31 | 98 | 71 | 16 | 28 | 54 | bater | 64 | 46 | 66 | 22 | counterrevolution | pail | 24 | amphetamine
11 : myopia | planeload | bremsstrahlung | 99 | 77 | 88 | 58 | 34 | Veneto | anorthosite | 20 | featherweight | apartheid | oath | sire | teeing | 66 | 66 | Bengali | 68 | 24 | 78 | rhombus | 80 | awkward | 25 | Darwin | cumulus | 80 | 70 | 83 | 52 | excuse | 91 | inertial | welt | potbelly | rout | 4
Elsinore : boastful | 73 | 1 | 99 | they'd | pigmentation | Buena | deadhead | whippet | 32 | magnanimous | neoclassic | headstrong | 79 | Plainfield | see | convulsive | 50 | 96 | 11 | 96 | 11 | Epicurean | Dickerson | 68 | 98 | 78 | green | 46 | 7 | 17 | 27 | 47 | amount | 35 | 49 | petrel | 42 | 88
92 : 97 | 21 | Debussy | couch | 99 | quillwort | 33 | service | monotreme | bricklayer | Ezekiel | 99 | 68 | 87 | 78 | industrial | 74 | woodwork | 83 | 9 | Jove | 49 | pedestrian | clasp | 90 | strap | oxidant | 24 | 9 | w | 88 | 25 | 43 | landhold | snoop | 88 | 37 | pinpoint | 92
sandy : cornish | hint | generosity | 78 | 7 | amplify | Melbourne | 17 | hexagonal | Budd | 24 | 77 | eukaryote | cannel | Werther | 88 | 68 | 34 | 2 | 81 | 63 | 25 | 60 | 12 | 60 | 12 | 64 | 68 | bat | 25 | 4 | 62 | 19 | 84 | Carlin | sunset | palladium | slowdown | 36
20 : befoul | 74 | peck | 8 | 96 | 8 | 23 | 70 | Connally | 70 | loess | Brenner | 10 | 23 | arpeggio | accolade | 79 | 77 | 18 | 43 | 94 | 92 | Monongahela | 12 | 84 | 99 | 28 | bathe | 8 | Truk | 82 | 50 | tenable | 63 | 82 | 55 | velocity | 62 | 99
bivalve : vigorous | Gordon | reb | cue | 44 | spearhead | threonine | Jefferson | 88 | 58 | potential | 84 | 29 | 85 | Scala | 74 | 9 | 4 | 56 | 57 | ostentation | 91 | 13 | dame | exclamation | 65 | 75 | eh | argumentative | scatterbrain | 15 | Napoleonic | 89 | 0 | chloroplast | 9 | 64 | multi | 68
41 : purchase | 3 | 40 | Anne | Bryn | 4 | 66 | 93 | 8 | conducive | 43 | 34 | 22 | 0 | 91 | plankton | 48 | 66 | simultaneous | 76 | stolen | variac | 57 | 70 | policewoman | 0 | Russ | dal | 19 | 50 | composite | 55 | 76 | Sinbad | scorch | 46 | stepson | 21 | defocus
12 : gear | 69 | 70 | 92 | 56 | bushwhack | 60 | 93 | riparian | percussion | 16 | rend | 31 | bookie | 8 | Denny | heretofore | caveman | 43 | 55 | 61 | 92 | covalent | 93 | macaw | 22 | 70 | Gandhi | 68 | winy | 67 | moss | 21 | 71 | critic | 97 | 92 | 0 | trammel
indolent : 3 | 25 | 55 | 3 | 58 | cucumber | 47 | 15 | aspire | 12 | 27 | 36 | 42 | attendant | 74 | 30 | 69 | trend | 39 | 75 | 15 | wallaby | 93 | sultan | 91 | Finley | 90 | 23 | Alamo | congest | 95 | 94 | dagger | 31 | 89 | feign | 89 | schoolmaster | 83
72 : keyboard | 13 | 21 | O'Connell | 46 | 46 | 24 | 74 | 80 | 69 | 7 | academia | otherwise | 93 | 12 | 16 | mount | 13 | 20 | Vinson | 22 | blockage | 11 | 51 | 53 | 68 | 27 | highwayman | Lanka | 17 | 73 | 80 | 18 | 36 | 28 | 69 | 36 | 36 | 50
hayfield : 34 | 44 | bowline | blowfish | 92 | fan | rouge | 55 | 22 | 20 | 28 | 5 | 61 | stun | 69 | 82 | dire | 61 | drowse | 80 | 80 | PDP | hothouse | bitwise | 26 | 20 | 75 | 36 | advise | goldfinch | lamellar | dramatic | 26 | aspirant | 53 | 0 | 64 | 82 | 10
46 : 52 | 85 | 23 | 40 | Newfoundland | villain | morass | mire | 62 | cucumber | muffin | inch | Masonic | Callahan | steradian | 90 | 67 | 60 | 12 | dyne | 49 | 89 | 65 | 44 | 14 | 91 | sandpile | accolade | dick | 39 | 94 | stablemen | 22 | deliver | 66 | 97 | 13 | 97 | 51
91 : 31 | 76 | 38 | privy | 51 | 7 | 41 | luxuriant | derive | modulus | 50 | 14 | 31 | 19 | venous | 81 | 96 | 48 | dolomite | 24 | applique | Rodgers | Brenner | 32 | 4 | 62 | 56 | 21 | 87 | 48 | 35 | 85 | 44 | 8 | patio | 4 | 2 | pollute | 73
potable : 58 | 55 | 59 | 48 | iris | 43 | 11 | committeeman | balky | headroom | 55 | 97 | crackle | tic | ransom | 90 | riverbank | 46 | 49 | 25 | 20 | Vivian | 68 | allusive | diverge | 4 | overture | 80 | 70 | hydroelectric | 81 | 57 | deterring | upon | Kepler | 93 | noisome | sleeve | hypochlorite
47 : Olsen | job | entrant | itch | airframe | 77 | 68 | 9 | 53 | 78 | 81 | enjoinder | 83 | 58 | 26 | 45 | 24 | 51 | Susie | 79 | 79 | 68 | 8 | peruse | 11 | 90 | RPM | 72 | 70 | 73 | Brett | 30 | Theodore | demark | watchmake | 95 | 93 | alkaloid | 30
74 : 45 | 54 | 52 | 30 | nitpick | 78 | 6 | 87 | 26 | amide | 56 | 35 | 20 | blush | 26 | 25 | permitting | 14 | 0 | 32 | grapefruit | 68 | 70 | 79 | noon | 31 | uracil | 24 | 95 | Renoir | 64 | 61 | facto | 60 | 35 | Osaka | 29 | 45 | 28
71 : 72 | bisexual | 4 | 50 | retch | beak | Townsend | 46 | 1 | 44 | 78 | gnome | abominate | crater | 48 | 93 | 0 | shed | 32 | 8 | 38 | experiment | 8 | 68 | waylay | 63 | 68 | simpleminded | 57 | 37 | 26 | 37 | 70 | 76 | adventure | 43 | 47 | Adriatic | 42
88 : 89 | cartoon | 98 | fleawort | 54 | 73 | cabana | 82 | Barrett | philosophic | 87 | 6 | 36 | 66 | 6 | 85 | 76 | equivocal | 49 | 59 | stagy | incisive | 62 | 5 | Larkin | 51 | NCR | orthopedic | 57 | victory | 62 | 83 | depart | 44 | speedboat | improbable | 88 | 84 | Miranda
53 : osprey | brocade | 27 | 5 | 95 | 57 | Martha | 69 | 69 | autobiography | 89 | 31 | 22 | 83 | 27 | 59 | mundane | playback | 76 | 71 | stronghold | enzyme | 14 | 49 | 16 | 73 | frilly | 45 | 58 | ribosome | headwater | 30 | 17 | 39 | Singapore | 80 | 24 | dire | foliate
16 : 77 | barberry | 15 | monstrous | 69 | clamshell | 45 | 97 | Sargent | 22 | yacht | cambric | 12 | 65 | bracket | 82 | puffin | 22 | 90 | 4 | 20 | curiosity | 15 | 68 | 86 | 9 | 83 | 54 | 95 | 63 | 91 | 25 | blueprint | 0 | Jimmie | 42 | 88 | 47 | 80
84 : 4 | 51 | 28 | 90 | illegible | refute | 99 | trivalent | taper | 91 | thermistor | 23 | 50 | 71 | 40 | 62 | kneel | fleeing | 62 | 5 | 36 | greylag | 57 | 38 | Ryder | 54 | prospect | 75 | swam | 35 | 51 | erg | Seth | coextensive | 69 | 87 | 50 | 42 | 97
Bleeker : urchin | Manila | 85 | 68 | verity | denture | 64 | Disneyland | municipal | bade | 60 | 6 | 17 | 38 | 65 | 54 | 36 | myoglobin | 72 | Rabin | compendia | surah | 74 | 60 | Croatia | 72 | 47 | 61 | 39 | 90 | 52 | 29 | 66 | 35 | fairgoer | 74 | prostrate | coax | 44
Wiley : 83 | 61 | 78 | 42 | 47 | polyploidy | 14 | quizzes | Isaacson | 19 | 2 | romantic | 16 | 22 | Eisner | 36 | enchantress | 0 | clout | derelict | 3 | 90 | 18 | Buick | 9 | 93 | cowpox | 82 | 35 | 33 | 71 | paraxial | militant | 90 | 70 | 2 | 92 | 41 | 9
16 : 37 | 86 | heartfelt | 32 | 43 | 10 | 51 | whomsoever | 25 | 36 | 43 | 26 | 1 | whitish | 31 | 50 | 0 | 84 | blister | 36 | quagmire | 90 | 2 | victor | 44 | 76 | 64 | 90 | 44 | Pease | 0 | ramrod | lore | 13 | revulsion | 22 | 57 | 36 | 42
64 : curve | Jules | 66 | 32 | 45 | 47 | zoo | codeword | 62 | 11 | 1 | rampant | juxtapose | anthropomorphic | 53 | perfect | school | 39 | audible | loci | 52 | 91 | 2 | Accra | 64 | Melanesia | 23 | 7 | peripatetic | fine | snack | swordplay | 38 | crust | Manchuria | tori | 3 | 52 | bestowal
urinary : lesson | 15 | 81 | 38 | waist | exemplary | 50 | 63 | 66 | indecomposable | 78 | hollowware | 42 | Columbia | cahoot | laissez | 33 | upsilon | 35 | 42 | 19 | 29 | nigger | 7 | 81 | consolidate | 29 | 40 | 66 | 61 | 31 | 47 | 52 | 16 | interior | Permian | ogress | 48 | greensward
55 : scandalous | 88 | 21 | 21 | quilt | 57 | 51 | 60 | 97 | 35 | 42 | 58 | 80 | extort | curiosity | 76 | teacart | 55 | 83 | 55 | grid | earthworm | 10 | 27 | 63 | 39 | 95 | 15 | transgression | 12 | 40 | 29 | hologram | 95 | 0 | 8 | 70 | axolotl | Karp
brimful : 9 | 13 | Amerada | 8 | 5 | 7 | 10 | 99 | 1 | 26 | police | 57 | 23 | liturgic | 87 | permissible | 76 | 94 | 86 | 24 | 81 | 67 | blow | 46 | drab | diagnostic | punctuate | knockout | verbatim | doctrinaire | 98 | 29 | 19 | 80 | Sioux | 11 | 52 | 30 | Huntington
23 : 77 | 17 | 63 | 52 | 96 | 77 | multiplexor | 76 | 91 | 49 | wise | 54 | Rome | 64 | 68 | 96 | 49 | 68 | 57 | lab | theses | 25 | 78 | Accra | 62 | 41 | still | 98 | hoopla | 0 | 36 | 11 | 49 | Guenther | 20 | 57 | 1 | 0 | quasiparticle
19 : discretionary | 41 | Yeats | 16 | bilinear | setscrew | 52 | bothersome | Flanagan | 41 | 56 | 42 | 4 | incandescent | 51 | 38 | allmsgs | tackle | 8 | 10 | 23 | teacup | droplet | 26 | 37 | Nora | 24 | pluton | 54 | 81 | defend | acceptor | 37 | creep | gild | stall | 13 | 7 | 44
67 : Zealand | 32 | pterodactyl | garrulous | magic | 24 | 2 | 77 | 71 | transfer | 11 | 26 | 10 | 88 | 27 | 51 | 77 | 75 | demean | 35 | vanguard | 78 | 52 | checkpoint | 12 | 10 | woody | mink | 19 | Ullman | 44 | 72 | mar | Coffman | sound | Moore | rusty | 56 | deuce
89 : 22 | 59 | 86 | 2 | 69 | bitumen | Latinate | deportee | 75 | 8 | Parsi | 33 | 25 | 41 | 8 | 38 | Middletown | 20 | 27 | 94 | 47 | bulwark | strophe | 6 | 82 | representative | 78 | 15 | hydrochloride | Zomba | 53 | rink | butadiene | whirligig | prosperous | hate | 71 | 93 | Krakow
2 : 58 | Jorge | 89 | 50 | AZ | 64 | marsupial | 33 | 15 | 62 | 9 | caliper | 17 | 66 | 6 | Ayers | 58 | deconvolve | 96 | borderland | 84 | 47 | 5 | 2 | 90 | 93 | 83 | 65 | borosilicate | 31 | mylar | 77 | 56 | miniature | j's | 11 | 55 | 0 | 62
